% Model:              prototipo thgem_Garfield_2_1_light_3.mph
% Version:            COMSOL 5.1.0.234
% Date:               Sep 30 2020, 18:40
% Dimension:          3
% Nodes:              14326
% Expressions:        1
% Description:        Electric potential
% Length unit:        mm
% x             y              z              V (V)
0.0000          0.11187        0.55538        -172.71
-1.8942E-18     0.082179       0.54083        -171.82
0.0000          -0.0093782     0.53414        -171.41
-1.8942E-18     0.021557       0.54750        -172.23
0.017332        -0.0093782     0.54758        -172.23
0.017464        0.010362       0.53155        -171.25
0.017464        0.041297       0.54491        -172.07
0.0000          -0.0093782     0.56777        -173.47
0.034768        -0.0093782     0.49306        -168.89
0.034716        -0.0093782     0.52704        -170.97
0.052384        -0.0093782     0.50684        -169.73
0.034848        0.010362       0.51100        -169.99
0.017384        -0.0093782     0.51360        -170.15
0.017462        0.082961       0.52069        -170.58
-3.8364E-18     0.053275       0.52704        -170.97
-1.9422E-18     0.082961       0.50701        -169.74
-3.8843E-18     0.054057       0.49323        -168.90
-1.9422E-18     0.022340       0.51368        -170.15
0.017384        0.022340       0.49314        -168.89
0.017464        0.042080       0.51109        -169.99
0.034926        0.070984       0.53855        -171.68
0.070000        -0.0093782     0.48603        -168.46
0.070000        -0.0093782     0.45144        -166.33
0.052384        -0.0093782     0.47225        -167.61
0.070000        0.018786       0.50759        -169.78
0.070000        0.018786       0.47299        -167.66
0.052384        0.018786       0.49381        -168.93
0.070000        0.046950       0.49455        -168.98
0.052464        0.038526       0.51175        -170.03
0.070000        0.047622       0.52889        -171.09
0.052462        0.079408       0.52135        -170.62
0.052518        0.010618       0.45797        -166.73
0.034902        0.010618       0.47878        -168.01
0.052518        0.038783       0.47952        -168.06
0.035037        0.030615       0.46450        -167.13
0.035456        0.11187        0.49366        -168.92
0.035190        0.11187        0.52091        -170.60
0.017728        0.11187        0.50723        -169.76
0.017728        0.082961       0.49344        -168.91
0.052728        0.079408       0.49411        -168.95
0.035000        0.050504       0.49389        -168.94
0.052462        0.11187        0.54142        -171.86
0.070000        0.11187        0.53470        -171.44
0.070000        0.11187        0.56828        -173.50
0.070000        0.080079       0.54897        -172.32
0.052728        0.11187        0.51418        -170.18
0.070000        0.079408       0.51462        -170.21
0.0000          0.11187        0.45162        -166.34
0.017728        0.11187        0.47264        -167.63
0.0000          0.11187        0.48621        -168.47
-1.9422E-18     0.082961       0.47242        -167.62
0.0000          -0.0093782     0.50052        -169.34
-1.9422E-18     0.022340       0.48006        -168.09
0.017384        -0.0093782     0.47998        -168.08
0.0000          -0.0093782     0.46690        -167.28
0.017518        0.010618       0.46570        -167.21
0.017518        0.042336       0.47886        -168.02
0.017349        -0.0093782     0.44588        -165.99
0.034733        -0.0093782     0.45896        -166.79
0.034697        -0.0093782     0.42486        -164.70
0.034867        0.010618       0.44468        -165.92
0.052349        -0.0093782     0.43815        -165.52
-1.9564E-18     0.022573       0.44649        -166.03
-3.9129E-18     0.054524       0.42608        -164.78
-3.8986E-18     0.054291       0.45965        -166.84
0.017518        0.042569       0.44529        -165.95
0.017349        0.022573       0.42547        -164.74
0.036219        0.11187        0.43911        -165.58
0.053109        0.079408       0.46683        -167.28
0.035837        0.11187        0.46639        -167.25
0.018109        0.082961       0.46617        -167.24
0.018109        0.083195       0.43260        -165.18
0.035628        0.071240       0.45180        -166.35
0.018109        0.11187        0.44537        -165.96
-1.9564E-18     0.083195       0.43885        -165.56
0.070000        -0.0093782     0.41684        -164.21
0.070000        -0.0093782     0.38224        -162.09
0.052349        -0.0093782     0.40355        -163.39
0.070000        0.018438       0.43966        -165.61
0.070000        0.018438       0.40506        -163.49
0.052349        0.018438       0.42637        -164.79
0.070000        0.046254       0.42788        -164.89
0.052518        0.038435       0.44619        -166.01
0.070000        0.046602       0.46122        -166.93
0.053109        0.079060       0.43350        -165.23
0.053109        0.11187        0.45332        -166.45
0.070000        0.079060       0.44771        -166.10
0.070000        0.11187        0.46753        -167.32
0.070000        0.079408       0.48104        -168.15
0.052728        0.11187        0.48060        -168.12
0.070000        0.11187        0.50111        -169.38
0.0000          0.11187        0.38245        -162.10
0.018109        0.11187        0.41078        -163.84
0.0000          0.11187        0.41704        -164.22
-1.9564E-18     0.083195       0.40427        -163.44
0.017349        -0.0093782     0.41226        -163.93
0.0000          -0.0093782     0.43328        -165.22
-1.9564E-18     0.022573       0.41287        -163.96
0.0000          -0.0093782     0.39966        -163.15
0.017349        0.023369       0.39023        -162.58
-3.9616E-18     0.055320       0.39084        -162.61
-4.0104E-18     0.056117       0.35560        -160.45
-2.0052E-18     0.023369       0.37763        -161.80
0.034649        -0.0093782     0.39089        -162.62
0.017300        0.023369       0.35625        -160.49
0.034600        -0.0093782     0.35691        -160.53
0.017300        -0.0093782     0.37828        -161.84
0.070000        -0.0093782     0.34765        -159.96
0.052300        -0.0093782     0.36958        -161.31
0.070000        -0.0093782     0.31305        -157.84
0.052300        -0.0093782     0.33498        -159.18
0.070000        0.017052       0.37021        -161.35
0.070000        0.017052       0.33561        -159.22
0.052300        0.017052       0.35754        -160.57
0.070000        0.043483       0.35817        -160.61
0.052349        0.017052       0.39152        -162.65
0.070000        0.044869       0.39303        -162.75
0.035000        0.049800       0.35689        -160.53
0.035000        0.049003       0.39213        -162.69
0.052445        0.0093093      0.31711        -158.09
0.034745        0.0093093      0.33904        -159.43
0.052445        0.035740       0.33967        -159.47
0.034889        0.027997       0.32117        -158.34
0.035000        0.050389       0.42698        -164.83
0.053109        0.11187        0.41974        -164.39
0.070000        0.11187        0.40037        -163.20
0.070000        0.11187        0.43395        -165.26
0.070000        0.079060       0.41412        -164.04
0.070000        0.077674       0.37927        -161.90
0.035000        0.083195       0.41322        -163.99
-2.0052E-18     0.083991       0.36903        -161.27
0.035000        0.11187        0.39141        -162.65
0.035000        0.083991       0.37798        -161.82
0.034640        0.11187        0.34335        -159.70
0.052320        0.11187        0.37186        -161.45
0.017320        0.11187        0.36290        -160.90
0.017320        0.083991       0.34948        -160.07
0.052320        0.077674       0.35076        -160.15
0.0000          0.11187        0.31329        -157.85
0.017320        0.11187        0.32832        -158.78
0.0000          0.11187        0.34787        -159.98
-2.0052E-18     0.083991       0.33444        -159.15
0.017300        -0.0093782     0.34466        -159.78
0.0000          -0.0093782     0.33241        -159.03
0.0000          -0.0093782     0.36603        -161.09
-2.0052E-18     0.023369       0.34401        -159.74
0.017445        0.0093093      0.32679        -158.68
0.017445        0.042057       0.33838        -159.39
0.034471        -0.0093782     0.28940        -156.39
0.034536        -0.0093782     0.32315        -158.46
0.052236        -0.0093782     0.30123        -157.11
0.034680        0.0093093      0.30528        -157.36
0.017236        -0.0093782     0.31091        -157.71
-3.9276E-18     0.054764       0.27635        -155.59
-3.9690E-18     0.055441       0.31598        -158.02
-1.9638E-18     0.022693       0.30438        -157.31
0.017445        0.041381       0.29876        -156.96
0.017236        0.022693       0.28288        -155.99
0.018956        0.067234       0.33559        -159.22
0.036401        0.053174       0.31837        -158.16
0.018956        0.066558       0.29596        -156.79
0.037912        0.078351       0.31557        -157.99
-1.9638E-18     0.083315       0.29482        -156.72
0.018956        0.095108       0.31443        -157.92
0.036276        0.095108       0.32946        -158.85
0.070000        -0.0093782     0.27846        -155.72
0.070000        -0.0093782     0.24387        -153.59
0.052236        -0.0093782     0.26664        -154.99
0.070000        0.020248       0.30642        -157.43
0.070000        0.020248       0.27183        -155.31
0.052236        0.020248       0.29459        -156.71
0.070000        0.049874       0.29979        -157.02
0.052445        0.038936       0.31048        -157.68
0.070000        0.046679       0.32898        -158.82
0.053956        0.060917       0.33687        -159.30
0.053956        0.064113       0.30768        -157.51
0.017700        0.11187        0.30033        -157.06
0.035399        0.11187        0.28736        -156.26
0.035020        0.11187        0.31536        -157.98
0.036655        0.095108       0.30147        -157.13
0.017700        0.083315       0.28186        -155.92
0.052320        0.11187        0.33828        -159.39
0.070000        0.11187        0.33320        -159.08
0.070000        0.11187        0.36678        -161.14
0.070000        0.077674       0.34569        -159.84
0.052700        0.11187        0.31028        -157.67
0.053956        0.095108       0.32439        -158.53
0.070000        0.080870       0.31649        -158.05
0.0000          0.11187        0.24413        -153.61
0.017700        0.11187        0.26575        -154.93
0.0000          0.11187        0.27871        -155.73
-1.9638E-18     0.083315       0.26024        -154.60
0.017236        -0.0093782     0.27728        -155.64
0.0000          -0.0093782     0.29879        -156.96
-1.9638E-18     0.022693       0.27076        -155.24
0.0000          -0.0093782     0.26517        -154.90
0.017567        0.022693       0.24950        -153.94
0.017567        -0.0093782     0.24391        -153.59
0.035134        -0.0093782     0.22265        -152.29
0.034803        -0.0093782     0.25602        -154.34
-3.1363E-18     0.041842       0.25053        -154.00
0.017567        0.0097704      0.22368        -152.35
-1.1725E-18     0.0097704      0.24494        -153.66
-2.3450E-18     0.028919       0.22471        -152.42
0.052236        0.026883       0.26692        -155.01
0.070000        0.063145       0.24443        -153.63
0.035000        0.058954       0.26039        -154.61
0.070000        0.056510       0.27211        -155.33
0.035000        0.052319       0.28807        -156.30
0.052567        0.026883       0.23354        -152.96
0.052567        -0.0093782     0.23326        -152.94
0.070000        0.026883       0.24415        -153.61
-4.5171E-18     0.064391       0.24448        -153.63
-3.7258E-18     0.051468       0.21866        -152.05
-5.1065E-18     0.074018       0.21262        -151.68
0.035000        0.046032       0.23457        -153.02
0.035000        0.068581       0.22852        -152.65
0.017500        0.055621       0.20075        -150.95
0.052500        0.050185       0.21666        -151.92
0.017500        0.033072       0.20680        -151.32
0.035000        0.037225       0.18888        -150.22
0.035163        0.11187        0.22437        -152.39
0.035281        0.11187        0.25587        -154.33
0.017582        0.11187        0.23425        -153.00
0.017582        0.083315       0.25036        -153.99
-2.5533E-18     0.092941       0.22837        -152.64
0.017582        0.092941       0.21849        -152.03
0.052582        0.087505       0.23440        -153.01
0.035067        0.013923       0.20576        -151.25
0.070000        0.052350       0.22228        -152.27
0.052567        0.016088       0.21139        -151.60
0.052500        0.039389       0.19451        -150.57
0.070000        0.041554       0.20014        -150.91
0.070000        0.016088       0.22201        -152.25
0.052629        0.069377       0.21481        -151.81
0.035258        0.075608       0.18519        -149.99
0.052629        0.058581       0.19266        -150.45
0.035129        0.056416       0.18703        -150.11
0.070000        -0.0093782     0.21167        -151.62
0.070000        -0.0093782     0.17948        -149.65
0.052567        -0.0093782     0.20106        -150.97
0.070000        0.016088       0.18981        -150.28
0.052500        0.013923       0.18418        -149.93
0.070000        0.11187        0.26604        -154.95
0.035000        0.083315       0.27119        -155.27
0.053956        0.095108       0.29080        -156.47
0.052700        0.11187        0.27670        -155.61
0.070000        0.080870       0.28291        -155.99
0.070000        0.087505       0.25523        -154.29
0.052582        0.11187        0.24520        -153.67
0.070000        0.11187        0.29962        -157.01
0.0000          0.11187        0.17972        -149.66
0.017582        0.11187        0.20204        -151.03
0.0000          0.11187        0.21193        -151.63
-2.5533E-18     0.092941       0.19617        -150.67
0.035211        0.093737       0.20478        -151.19
0.017629        0.074813       0.19890        -150.83
0.017629        0.093737       0.18245        -149.83
-2.4912E-18     0.091927       0.16930        -149.03
-5.0444E-18     0.073004       0.18575        -150.03
-4.9823E-18     0.071989       0.15888        -148.40
0.017629        0.073799       0.17203        -149.19
-3.8475E-18     0.053456       0.19512        -150.60
-2.5885E-18     0.032895       0.17763        -149.52
0.017629        0.054252       0.18141        -149.76
0.017500        0.035060       0.18325        -149.87
-3.7854E-18     0.052442       0.16825        -148.96
-2.4667E-18     0.030907       0.20117        -150.97
-1.2942E-18     0.011758       0.18918        -150.23
-1.1725E-18     0.0097704      0.21272        -151.68
0.0000          -0.0093782     0.20074        -150.94
0.017500        0.013923       0.19481        -150.58
0.017567        -0.0093782     0.21169        -151.61
0.0000          -0.0093782     0.23295        -152.92
0.034793        -0.0093782     0.15556        -148.15
0.017397        -0.0093782     0.17815        -149.54
0.034964        -0.0093782     0.18910        -150.23
0.034897        0.013923       0.17222        -149.19
0.017397        0.011758       0.16659        -148.83
0.052397        -0.0093782     0.16752        -148.91
0.070000        -0.0093782     0.15404        -148.10
0.070000        -0.0093782     0.12861        -146.60
0.052397        -0.0093782     0.14208        -147.36
0.070000        0.012361       0.16362        -148.68
0.070000        0.012361       0.13819        -147.16
0.052397        0.012361       0.15166        -147.95
0.070000        0.034101       0.14777        -147.73
0.052500        0.035663       0.16832        -148.97
0.070000        0.037828       0.17395        -149.31
0.032963        0.0040835      0.14665        -147.60
0.050566        0.025823       0.14275        -147.42
0.050566        0.0040835      0.13317        -146.82
0.031132        0.017545       0.13773        -147.06
0.015847        0.063011       0.15320        -148.06
0.033476        0.064820       0.16636        -148.84
0.015847        0.043463       0.16258        -148.61
0.031694        0.054032       0.14753        -147.71
0.070000        0.074149       0.15912        -148.38
0.070000        0.054125       0.15344        -148.06
0.052500        0.055687       0.17400        -149.31
0.050847        0.064090       0.15332        -148.04
0.050847        0.044066       0.14765        -147.72
0.033347        0.045628       0.16821        -148.96
0.070000        0.057852       0.17963        -149.65
